City Name,Service type,Stage,Action,Day,From Time,To Time,Amount,Passenger Location,Route Metric,"Month, Day, Year of Request Created Local",Condition Formating,NA%,Non Riders,DP,DP surge only,GMV,Requests with DP,Requests,Rides,max DP,min DP,NA%
Lima,Beat,Start,add_percent,Tuesday,18:00,18:30,,AELU,total_basic_fare <= 30000,"January 21, 2020",3rd,1.351351351,1,0,,823.5,0,74,67,0,0,1.35
Lima,Beat,Start,add_percent,Tuesday,18:30,19:00,,AELU,total_basic_fare <= 30000,"January 21, 2020",,0,0,0,,604,0,56,51,0,0,0
Lima,Beat,Start,add_percent,Tuesday,19:00,19:30,,AELU,total_basic_fare <= 30000,"January 21, 2020",3rd,3.278688525,2,0,,608.5,0,61,54,0,0,3.28
Lima,Beat,Start,add_percent,Tuesday,19:30,20:00,,AELU,total_basic_fare <= 30000,"January 21, 2020",3rd,3.773584906,2,0,,612,0,53,49,0,0,3.77
Lima,Beat,Start,add_percent,Tuesday,20:00,20:30,,AELU,total_basic_fare <= 30000,"January 21, 2020",,0,0,0,,539,0,53,44,0,0,0
Lima,Beat,Start,add_percent,Tuesday,20:30,21:00,,AELU,total_basic_fare <= 30000,"January 21, 2020",,0,0,0,,665.5,0,56,53,0,0,0
Lima,Beat,Start,add_percent,Tuesday,21:00,21:30,,AELU,total_basic_fare <= 30000,"January 21, 2020",3rd,3.50877193,2,0,,621.5,0,57,51,0,0,3.51
Lima,Beat,Start,add_percent,Tuesday,21:30,22:00,,AELU,total_basic_fare <= 30000,"January 21, 2020",,0,0,0,,768.5,0,58,53,0,0,0
Lima,Beat,Start,add_percent,Tuesday,22:00,22:30,,AELU,total_basic_fare <= 30000,"January 21, 2020",3rd,1.754385965,1,0,,679,0,57,54,0,0,1.75
Lima,Beat,Start,add_percent,Tuesday,22:30,23:00,,AELU,total_basic_fare <= 30000,"January 21, 2020",3rd,4.761904762,3,0,,723,0,63,59,0,0,4.76
Lima,Beat,Start,add_percent,Tuesday,23:00,23:30,,AELU,total_basic_fare <= 30000,"January 21, 2020",3rd,1.960784314,1,0,,483.5,0,51,43,0,0,1.96
Lima,Beat,Start,add_percent,Tuesday,23:30,0:00,,AELU,total_basic_fare <= 30000,"January 21, 2020",,6.25,2,0,,371.5,0,32,30,0,0,6.25
Lima,Beat,Start,add_percent,Wednesday,0:00,0:30,,AELU,total_basic_fare <= 30000,"January 22, 2020",,0,0,0,,342.5,0,27,26,0,0,0
Lima,Beat,Start,add_percent,Wednesday,0:30,1:00,,AELU,total_basic_fare <= 30000,"January 22, 2020",,3.448275862,1,0,,351.5,0,29,27,0,0,3.45
Lima,Beat,Start,add_percent,Wednesday,1:00,1:30,,AELU,total_basic_fare <= 30000,"January 22, 2020",,0,0,0,,186,0,15,14,0,0,0
Lima,Beat,Start,add_percent,Wednesday,1:30,2:00,,AELU,total_basic_fare <= 30000,"January 22, 2020",,0,0,0,,172.5,0,15,15,0,0,0
Lima,Beat,Start,add_percent,Wednesday,2:00,2:30,,AELU,total_basic_fare <= 30000,"January 22, 2020",,0,0,0,,95.5,0,11,10,0,0,0
Lima,Beat,Start,add_percent,Wednesday,2:30,3:00,,AELU,total_basic_fare <= 30000,"January 22, 2020",,0,0,0,,107.5,0,8,8,0,0,0
Lima,Beat,Start,add_percent,Wednesday,3:00,3:30,,AELU,total_basic_fare <= 30000,"January 22, 2020",,0,0,0,,47.5,0,3,3,0,0,0
Lima,Beat,Start,add_percent,Wednesday,3:30,4:00,,AELU,total_basic_fare <= 30000,"January 22, 2020",,0,0,0,,90.5,0,6,6,0,0,0
Lima,Beat,Start,add_percent,Wednesday,4:00,4:30,,AELU,total_basic_fare <= 30000,"January 22, 2020",,0,0,0,,90.5,0,6,6,0,0,0
Lima,Beat,Start,add_percent,Wednesday,4:30,5:00,,AELU,total_basic_fare <= 30000,"January 22, 2020",,0,0,0,,74.5,0,8,6,0,0,0
